"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test to verify a user can log out successfully

:param signup_and_logout_real_user:
:return: None
","3808","test_logout_user[chromium]","tests","Tue May 13 10:18:17 GMT 2025","passed","Tue May 13 10:18:21 GMT 2025","","test_logout","",""
"
Test to verify a user can log in with correct credentials

:param signup_and_logout_real_user:
:return: None
","1317","test_login_user_with_correct_email_and_password[chromium]","tests","Tue May 13 10:18:11 GMT 2025","passed","Tue May 13 10:18:13 GMT 2025","","test_login","",""
"
Test to verify a user can't log in with incorrect credentials

:param get_webdriver_chrome:
:return: None
","574","test_login_user_with_incorrect_email_and_password[creds1]","tests","Tue May 13 10:18:35 GMT 2025","passed","Tue May 13 10:18:36 GMT 2025","","test_login","",""
"
Test to verify a user can subscribe in the home page

:param get_webdriver_chrome:
:return: None
","1049","test_verify_subscription_in_home_page","tests","Tue May 13 10:18:29 GMT 2025","passed","Tue May 13 10:18:30 GMT 2025","","test_home","",""
"
Test to verify Test Cases heading is visible

:param get_webdriver_chrome:
:return: None
","904","test_verify_test_cases_page","tests","Tue May 13 10:18:04 GMT 2025","passed","Tue May 13 10:18:04 GMT 2025","","test_cases","",""
"
Test to verify a user can't log in with incorrect credentials

:param get_webdriver_chrome:
:return: None
","500","test_login_user_with_incorrect_email_and_password[creds0]","tests","Tue May 13 10:18:33 GMT 2025","passed","Tue May 13 10:18:33 GMT 2025","","test_login","",""
"
Test to verify product page and products list details download and seen properly

:param get_webdriver_chrome:
:return: None
","2203","test_verify_all_products_and_product_detail_page","tests","Tue May 13 10:18:38 GMT 2025","passed","Tue May 13 10:18:40 GMT 2025","","test_products","",""
"
Test to verify products search works properly

:param get_webdriver_chrome:
:return: products list
","2008","test_search_product","tests","Tue May 13 10:18:42 GMT 2025","passed","Tue May 13 10:18:44 GMT 2025","","test_products","",""
"
Test to verify a user can't register account with existing email

:param signup_and_logout_real_user:
:return: None
","1020","test_register_user_with_existing_email[chromium]","tests","Tue May 13 10:18:26 GMT 2025","passed","Tue May 13 10:18:27 GMT 2025","","test_register","",""
"
Test to verify a new user can register an account

:param get_webdriver_chrome:
:return:
","2916","test_register_user","tests","Tue May 13 10:18:46 GMT 2025","passed","Tue May 13 10:18:49 GMT 2025","","test_register","",""
"
Test to verify to leave data and download file  via
Contact Us form are possible

:param page:
:return: None
","2687","test_contact_us_form[chromium]","tests","Tue May 13 10:18:05 GMT 2025","passed","Tue May 13 10:18:07 GMT 2025","","test_contact_us","",""
