"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test to verify a user can't log in with incorrect credentials

:param get_webdriver_chrome:
:return: None
","561","test_login_user_with_incorrect_email_and_password[creds0]","tests","Mon May 12 19:18:18 GMT 2025","passed","Mon May 12 19:18:18 GMT 2025","","test_login","",""
"
Test to verify a user can't log in with incorrect credentials

:param get_webdriver_chrome:
:return: None
","511","test_login_user_with_incorrect_email_and_password[creds1]","tests","Mon May 12 19:18:21 GMT 2025","passed","Mon May 12 19:18:21 GMT 2025","","test_login","",""
"
Test to verify product page and products list details download and seen properly

:param get_webdriver_chrome:
:return: None
","2167","test_verify_all_products_and_product_detail_page","tests","Mon May 12 19:18:24 GMT 2025","passed","Mon May 12 19:18:26 GMT 2025","","test_products","",""
"
Test to verify a user can't register account with existing email

:param signup_and_logout_real_user:
:return: None
","902","test_register_user_with_existing_email[chromium]","tests","Mon May 12 19:18:11 GMT 2025","passed","Mon May 12 19:18:12 GMT 2025","","test_register","",""
"
Test to verify a user can log out successfully

:param signup_and_logout_real_user:
:return: None
","2104","test_logout_user[chromium]","tests","Mon May 12 19:18:04 GMT 2025","passed","Mon May 12 19:18:06 GMT 2025","","test_logout","",""
"
Test to verify products search works properly

:param get_webdriver_chrome:
:return: products list
","2205","test_search_product","tests","Mon May 12 19:18:29 GMT 2025","passed","Mon May 12 19:18:31 GMT 2025","","test_products","",""
"
Test to verify a user can subscribe in the home page

:param get_webdriver_chrome:
:return: None
","1050","test_verify_subscription_in_home_page","tests","Mon May 12 19:18:14 GMT 2025","passed","Mon May 12 19:18:15 GMT 2025","","test_home","",""
"
Test to verify a new user can register an account

:param get_webdriver_chrome:
:return:
","2193","test_register_user","tests","Mon May 12 19:18:34 GMT 2025","passed","Mon May 12 19:18:36 GMT 2025","","test_register","",""
"
Test to verify Test Cases heading is visible

:param get_webdriver_chrome:
:return: None
","338","test_verify_test_cases_page","tests","Mon May 12 19:17:49 GMT 2025","passed","Mon May 12 19:17:50 GMT 2025","","test_cases","",""
"
Test to verify a user can log in with correct credentials

:param signup_and_logout_real_user:
:return: None
","1343","test_login_user_with_correct_email_and_password[chromium]","tests","Mon May 12 19:17:58 GMT 2025","passed","Mon May 12 19:17:59 GMT 2025","","test_login","",""
"
Test to verify to leave data and download file  via
Contact Us form are possible

:param page:
:return: None
","2827","test_contact_us_form[chromium]","tests","Mon May 12 19:17:50 GMT 2025","passed","Mon May 12 19:17:53 GMT 2025","","test_contact_us","",""
