"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2086","test_logout_user[chromium]","tests","Mon May 12 11:49:35 GMT 2025","passed","Mon May 12 11:49:37 GMT 2025","","test_logout","",""
"","972","test_verify_all_products_and_product_detail_page","tests","Mon May 12 11:49:47 GMT 2025","passed","Mon May 12 11:49:48 GMT 2025","","test_products","",""
"","404","test_verify_test_cases_page","tests","Mon May 12 11:49:24 GMT 2025","passed","Mon May 12 11:49:24 GMT 2025","","test_cases","",""
"","1994","test_register_user","tests","Mon May 12 11:49:52 GMT 2025","passed","Mon May 12 11:49:54 GMT 2025","","test_register","",""
"","2018","test_contact_us_form[chromium]","tests","Mon May 12 11:49:25 GMT 2025","passed","Mon May 12 11:49:27 GMT 2025","","test_contact_us","",""
"","1215","test_login_user_with_correct_email_and_password[chromium]","tests","Mon May 12 11:49:30 GMT 2025","passed","Mon May 12 11:49:31 GMT 2025","","test_login","",""
"","1348","test_verify_subscription_in_home_page","tests","Mon May 12 11:49:43 GMT 2025","passed","Mon May 12 11:49:44 GMT 2025","","test_home","",""
"","1082","test_search_product","tests","Mon May 12 11:49:50 GMT 2025","passed","Mon May 12 11:49:51 GMT 2025","","test_products","",""
"","473","test_login_user_with_incorrect_email_and_password","tests","Mon May 12 11:49:45 GMT 2025","passed","Mon May 12 11:49:46 GMT 2025","","test_login","",""
"","993","test_register_user_with_existing_email[chromium]","tests","Mon May 12 11:49:40 GMT 2025","passed","Mon May 12 11:49:41 GMT 2025","","test_register","",""
