"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","test_verify_test_cases_page","tests","Mon May 12 08:32:48 GMT 2025","passed","Mon May 12 08:32:48 GMT 2025","","test_cases","",""
"","1647","test_contact_us_form[chromium]","tests","Mon May 12 08:32:49 GMT 2025","passed","Mon May 12 08:32:50 GMT 2025","","test_contact_us","",""
"","437","test_search_product","tests","Mon May 12 08:33:06 GMT 2025","passed","Mon May 12 08:33:07 GMT 2025","","test_products","",""
"","928","test_register_user_with_existing_email[chromium]","tests","Mon May 12 08:33:00 GMT 2025","passed","Mon May 12 08:33:01 GMT 2025","","test_register","",""
"","1210","test_logout_user[chromium]","tests","Mon May 12 08:32:56 GMT 2025","passed","Mon May 12 08:32:57 GMT 2025","","test_logout","",""
"","592","test_login_user_with_correct_email_and_password[chromium]","tests","Mon May 12 08:32:53 GMT 2025","passed","Mon May 12 08:32:53 GMT 2025","","test_login","",""
"","160","test_verify_subscription_in_home_page","tests","Mon May 12 08:33:02 GMT 2025","passed","Mon May 12 08:33:02 GMT 2025","","test_home","",""
"","457","test_verify_all_products_and_product_detail_page","tests","Mon May 12 08:33:05 GMT 2025","passed","Mon May 12 08:33:05 GMT 2025","","test_products","",""
"","445","test_login_user_with_incorrect_email_and_password","tests","Mon May 12 08:33:03 GMT 2025","passed","Mon May 12 08:33:04 GMT 2025","","test_login","",""
"","1240","test_register_user","tests","Mon May 12 08:33:08 GMT 2025","passed","Mon May 12 08:33:09 GMT 2025","","test_register","",""
